l4_id,global_source_id,input_text_hash,top1_l3_id,top1_semantic_score,top1_composite_score,semantic_margin,composite_margin,anchor_top1_votes,eligible_l3_ids,gap_sentinels,decision,abstention_reason
RAI4-0090,GOVRISK-REF-0045,c419ad54fe3a2b5a7263906237d36ae2937f0ad3bef59887c3af8ec11aeeadb5,RAI3-G-INT-08,0.599446,0.449584,0.014459,0.010844,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0091,GOVRISK-REF-0046,b902cb7e6d2656be099faf6d5fbf2e378806a6b5ab7c04a2bd2255c5f4e6d6bd,RAI3-G-SYS-09,0.578774,0.434081,0.006838,0.005128,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0092,GOVRISK-REF-0047,98eab0e7f7951fecd4fbffaf181b6f1a9ed9299f1da5ec1256cd93596c223fb3,RAI3-A-SYS-01,0.616889,0.462667,0.027847,0.020886,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0093,GOVRISK-REF-0048,39b20d00e48ced05bcb8514805afe4b55bc56a90bfe154c8707499bd6fda5a10,RAI3-A-SYS-01,0.573472,0.430104,0.015486,0.011614,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0094,GOVRISK-REF-0049,9efa5a6f2bfb4a26ab1d4d74e8e8459a11d4125895f27769bc1f69f0b7d1623b,RAI3-G-SYS-09,0.600882,0.450662,0.036254,0.027191,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0095,GOVRISK-REF-0050,d8772b493997436cf0869bb753030daaadfdf972a3e143ce30d043acdfa4e2f7,RAI3-G-SYS-03,0.559008,0.419256,0.000331,0.000248,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0096,GOVRISK-REF-0051,7b6fb5db55acc2c9119fb66c1b7a9684668fc0a523310553d367184caa3707ad,RAI3-A-SYS-01,0.589585,0.442189,0.006441,0.004831,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0097,GOVRISK-REF-0052,2460ae9987baa6b84f2f33920eccef718a099aec53a9e2e41a5427c4c57e7293,RAI3-G-SYS-09,0.575157,0.431368,0.03232,0.02424,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0098,GOVRISK-REF-0053,7371f28669f4ec324b663f35f52fc47199341e7d791c9dc2d8341f910676e64e,RAI3-G-SYS-09,0.572922,0.429692,0.007063,0.005297,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0099,GOVRISK-REF-0054,914193506102ba0f899956c8aa90aaa69fbdaf2bdcd4760251cce1d86116a327,RAI3-G-INT-10,0.570775,0.428082,0.018705,0.014029,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0100,GOVRISK-REF-0055,05f48682adf5141e3ebf0cb3abf365184ebbbe82bd371dd4b945cd746dc35d43,RAI3-A-SYS-06,0.591261,0.443446,0.00955,0.007163,2,[],[],needs_taxonomy_decision,NO_VALID_L3
