source_row_id,source_domain,source_l4_id,final_l4_id,final_l1_id,final_l3_id,status
SRC-G-0311,General,RAI4-0384,G_Others_059,L1_G,G_Others,ACTIVE
SRC-G-0312,General,RAI4-0458,G_SOC_ECON_010,L1_G,G_SOC_ECON,ACTIVE
SRC-G-0313,General,RAI4-0461,G_SOC_POWER_003,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0314,General,RAI4-0505,G_SOC_POWER_010,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0315,General,RAI4-0509,G_SOC_POWER_006,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0316,General,RAI4-1011,G_SOC_POWER_009,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0317,General,RAI4-1022,G_SYS_CONTEST_001,L1_G,G_SYS_CONTEST,ACTIVE
SRC-G-0318,General,RAI4-1224,G_SOC_POWER_018,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0319,General,RAI4-1233,G_SOC_POWER_001,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0320,General,RAI4-1404,G_Others_140,L1_G,G_Others,ACTIVE
SRC-G-0321,General,RAI4-1661,G_SOC_POWER_020,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0322,General,RAI4-0086,G_Others_123,L1_G,G_Others,ACTIVE
SRC-G-0323,General,RAI4-0383,G_Others_035,L1_G,G_Others,ACTIVE
SRC-G-0324,General,RAI4-0415,G_SYS_OEXT_015,L1_G,G_SYS_OEXT,ACTIVE
SRC-G-0325,General,RAI4-0460,G_SOC_POWER_004,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0326,General,RAI4-0491,G_INT_VALUE_001,L1_G,G_INT_VALUE,ACTIVE
SRC-G-0327,General,RAI4-0499,G_Others_003,L1_G,G_Others,ACTIVE
SRC-G-0328,General,RAI4-0510,G_SOC_POWER_012,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0329,General,RAI4-0544,G_SOC_POWER_019,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0330,General,RAI4-0568,G_Others_124,L1_G,G_Others,ACTIVE
SRC-G-0331,General,RAI4-0731,G_SOC_POWER_002,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0332,General,RAI4-0960,G_INT_POL_003,L1_G,G_INT_POL,ACTIVE
SRC-G-0333,General,RAI4-1251,G_INT_VALUE_018,L1_G,G_INT_VALUE,ACTIVE
SRC-G-0334,General,RAI4-1414,G_SOC_POWER_013,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0335,General,RAI4-1663,G_SOC_POWER_014,L1_G,G_SOC_POWER,ACTIVE
SRC-G-0336,General,RAI4-0120,G_Others_119,L1_G,G_Others,ACTIVE
SRC-G-0337,General,RAI4-0425,G_INT_REPR_022,L1_G,G_INT_REPR,ACTIVE
SRC-G-0338,General,RAI4-0676,G_INT_REPR_003,L1_G,G_INT_REPR,ACTIVE
SRC-G-0339,General,RAI4-0697,G_INT_VALUE_007,L1_G,G_INT_VALUE,ACTIVE
SRC-G-0340,General,RAI4-0698,G_INT_VALUE_019,L1_G,G_INT_VALUE,ACTIVE
SRC-G-0341,General,RAI4-0700,G_SYS_MISINFO_003,L1_G,G_SYS_MISINFO,ACTIVE
SRC-G-0342,General,RAI4-0701,G_SYS_TRANS_001,L1_G,G_SYS_TRANS,ACTIVE
SRC-G-0343,General,RAI4-0711,G_Others_012,L1_G,G_Others,ACTIVE
SRC-G-0344,General,RAI4-0713,G_INT_REPR_021,L1_G,G_INT_REPR,ACTIVE
SRC-G-0345,General,RAI4-0722,G_INT_ALLOC_005,L1_G,G_INT_ALLOC,ACTIVE
SRC-G-0346,General,RAI4-0883,G_Others_095,L1_G,G_Others,ACTIVE
SRC-G-0347,General,RAI4-1018,G_Others_043,L1_G,G_Others,ACTIVE
SRC-G-0348,General,RAI4-1291,G_SOC_DEMOC_001,L1_G,G_SOC_DEMOC,ACTIVE
SRC-G-0349,General,RAI4-1299,G_SYS_INCONS_007,L1_G,G_SYS_INCONS,ACTIVE
SRC-G-0350,General,RAI4-1311,,,,DELETED
SRC-G-0351,General,RAI4-1329,G_Others_010,L1_G,G_Others,ACTIVE
SRC-G-0352,General,RAI4-1387,G_SYS_MISINFO_006,L1_G,G_SYS_MISINFO,ACTIVE
SRC-G-0353,General,RAI4-1413,G_Others_013,L1_G,G_Others,ACTIVE
SRC-G-0354,General,RAI4-1503,G_INT_VALUE_002,L1_G,G_INT_VALUE,ACTIVE
SRC-G-0355,General,RAI4-0493,G_Others_062,L1_G,G_Others,ACTIVE
SRC-G-0356,General,RAI4-1298,G_INT_UNETH_016,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0357,General,RAI4-0864,G_Others_134,L1_G,G_Others,ACTIVE
SRC-G-0358,General,RAI4-0132,G_Others_138,L1_G,G_Others,ACTIVE
SRC-G-0359,General,RAI4-0141,G_INT_UNETH_015,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0360,General,RAI4-0149,G_INT_REL_001,L1_G,G_INT_REL,ACTIVE
SRC-G-0361,General,RAI4-0155,G_Others_099,L1_G,G_Others,ACTIVE
